codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
14080,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14081,automacao,2023-06-20,2023-06-20,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14082,automacao,2023-10-27,2023-12-04,,retorno,nao,midia organica,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14083,automacao,2023-06-20,2023-06-20,,1venda - site,nao,redes sociais,"nenhum, mas sei onde obter documentos",nao informado
14084,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14085,vendedor loja,2023-06-20,2023-07-21,,1venda - manual,Sim,,,nao informado
14086,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14087,automacao,2023-06-20,2023-07-20,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14088,automacao,2023-06-20,2023-06-20,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14089,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14090,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14091,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14092,automacao,2023-11-19,2023-11-24,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14093,automacao,2023-06-20,2023-06-30,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14094,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14095,automacao,2023-06-20,2023-07-16,,1venda - site,nao,midia organica,algumas certidoes de nascimento/casamento/obito,nao informado
14096,vendedor loja,2023-06-20,2023-07-21,,,Sim,,,nao informado
14097,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14098,automacao,2023-06-20,,2023-06-27,1venda - site,Sim,parcerias,tenho todos os documentos,nao informado
14099,automacao,2023-06-20,2023-07-17,,1venda - indicacao,Sim,indicacao,,nao informado
14100,vendedor loja,2023-06-20,2023-07-04,,1venda - manual,Sim,,,nao informado
14101,vendedor loja,2023-06-20,2023-06-22,,1venda - manual,nao,,,nao informado
14102,vendedor loja,2023-06-20,2023-07-16,,,nao,,,nao informado
14103,automacao,2023-06-20,2023-07-14,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14104,automacao,2023-06-20,2023-07-06,,1venda - site,nao,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
14105,vendedor loja,2023-06-20,2023-11-21,,1venda - manual,Sim,,,nao informado
14106,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14107,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14108,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14109,automacao,2023-06-20,2023-07-05,,1venda - site,nao,midia organica,,nao informado
14110,vendedor loja,2023-06-20,2023-11-23,,1venda - manual,Sim,,,nao informado
14111,automacao,2023-06-21,2023-07-03,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14112,automacao,2023-06-21,2023-09-07,,1venda - site,nao,redes sociais,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14113,vendedor loja,2023-06-20,2023-07-04,,1venda - manual,Sim,,,nao informado
14114,vendedor loja,2023-06-20,2023-08-04,,1venda - manual,Sim,,,nao informado
14115,automacao,2023-06-21,2023-07-06,,1venda - site,nao,parcerias,tenho todos os documentos,nao informado
14116,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14117,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14118,automacao,2023-06-21,2023-07-06,,retorno,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14119,automacao,2023-06-21,2023-07-18,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14120,automacao,2023-06-21,2023-06-28,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14121,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14122,automacao,2023-06-21,2023-07-10,,1venda - site,Sim,midia organica,,nao informado
14123,automacao,2023-06-21,2023-07-18,,1venda - site,Sim,midia organica,algumas certidoes de nascimento/casamento/obito,nao informado
14124,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia organica,nenhum e nao sei por onde comecar,nao informado
14125,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14126,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14127,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14128,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14129,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14130,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14131,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14132,automacao,2023-06-21,2023-06-22,,1venda - site,nao,remarketing,algumas certidoes de nascimento/casamento/obito,nao informado
14133,automacao,2023-06-21,2023-07-05,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14134,automacao,2023-06-21,2023-07-03,,1venda - site,nao,remarketing,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14135,automacao,2023-06-21,2023-07-15,,retorno,Sim,remarketing,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14136,automacao,2023-06-21,2023-07-25,,1venda - site,Sim,outros,algumas certidoes de nascimento/casamento/obito,nao informado
14137,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14138,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14139,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14140,automacao,2023-06-30,2023-07-03,,retorno,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14141,automacao,2023-06-21,2023-06-27,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14142,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14143,vendedor loja,2023-06-21,2023-07-06,,,Sim,,,nao informado
14144,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14145,automacao,2023-06-21,2023-06-28,,1venda - site,Sim,parcerias,algumas certidoes de nascimento/casamento/obito,nao informado
14146,automacao,2023-06-21,2023-06-23,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14147,automacao,2023-07-07,2023-07-22,,retorno,nao,midia organica,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14148,automacao,2023-06-21,2023-06-26,,1venda - site,Sim,outros,algumas certidoes de nascimento/casamento/obito,nao informado
14149,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14150,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14151,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14152,automacao,2023-06-21,2023-06-21,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14153,automacao,2023-06-21,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
